#separator:tab
#html:true
"Frage:<br>
Welche drei Dimensionen sind beim Scoping einer Enterprise Architecture zu beachten?"	"<ul>
<li>Architecture Layer Scope: Betrachtete Architekturebenen</li>
<li>Enterprise Scope: Organisatorischer und geografischer Geltungsbereich</li>
<li>Vertical Scope: Detaillierungsgrad</li>
</ul>"
{{c1::Architekturprinzipien}} sollen {{c2::wesentliche Aspekte der IT-Architekturentwicklung als Regeln}} darstellen. Ein Prinzip ist dabei üblicherweise in einer Aussage, einer Begründung und der daraus resultierenden Implikation aufgebaut.	
"<p>Ein Architekturprinzip besteht aus:</p>
<ol>
<li>{{c1::Name}}: {{c1::Einfacher und klarer Name, ohne eine spezifische Technologie zu nennen}}</li>
<li>{{c2::Statement}}: {{c2::Essenz des Prinzip als aktive Aussage}}</li>
<li>{{c3::Rationale}}: {{c3::Grund des Prinzips und seine Verbindung zu andere Prinzipien}}</li>
<li>{{c4::Implications}}: {{c4::Auswirkungen und Zielzustand, welcher durch das Prinzip erreicht wird}}</li>
</ol>"	
"<p>Ein Architekturprinzip besitzt folgende Eigenschaften:</p>
<ul>
<li>{{c1::füllen die Lücke zwischen Design und Strategie}}</li>
<li>{{c1::niedrig in der Anzahl}}</li>
<li>{{c1::zukunftsorientiert}}</li>
</ul>"	
"Beispiel:<br />
Baustein"	"<ul>
<li>Business Service ""Option einkaufen""</li>
</ul>"
"{{c1::Ein Baustein (Building Block)}} ist {{c2::eine Komponente der Geschäfts-, IT- oder Architekturfunktion, mit der andere Bausteine kombiniert werden}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Wimmer-Beziehung_zwischen_verschiedenen_Komponenten.png"" alt=""""><br />
Beziehung zwischen Deliverables, Artefakten und Bausteinen}}}}"	
"Beispiel:<br />
Artekfakt (Architektur)"	"<ul>
<li>Process Flow Diagramm</li>
</ul>"
"{{c1::Ein Artefakt in der Architektur}} ist {{c2::ein architektonisches Arbeitsprodukt, welchen einen Aspekt der Architektur beschreibt}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Wimmer-Beziehung_zwischen_verschiedenen_Komponenten.png"" alt=""""><br />
Beziehung zwischen Deliverables, Artefakten und Bausteinen}}}}"	
"Beispiel:<br />
Deliverable"	"<ul>
<li>Architecture Definition Document</li>
</ul>"
"Frage:<br />
Mit welchem Modellierungselement werden Deliverables in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Deliverable.png"" alt="""">"
"{{c1::Ein Deliverable}} ist {{c2::der Output und das Arbeitsergebnis eines Projektes, das vertraglich spezifiziert ist und von Stakeholdern formell geprüft, vereinbart und abgezeichnet wird}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Wimmer-Beziehung_zwischen_verschiedenen_Komponenten.png"" alt=""""><br />
Beziehung zwischen Deliverables, Artefakten und Bausteinen}}}}"	
"Frage:<br />
Was ist das Enterprise Continuum and Tools und wozu dient es in TOGAF?"	Es strukturiert Architekturressourcen von generisch zu spezifisch. Ziel ist die Wiederverwendung von Architekturbausteinen und die strukturierte Ablage im Architektur-Repository mithilfe von Tools.
"{{c1::Das Enterprise Continuum and Tools (EContT)}} ist {{c2::die Nutzung und Spezialisierung von generischen Lösungen, um die Anforderungen einer individuellen Organisation zu unterstützen}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Enterprise_Continuum_and_Tools.png"" alt=""""> Enterprise Continuum and Tools}}}}"	
{{c1::Das Enterprise Continuum and Tools}} ermöglicht die Betrachtung verschiedene Dimensionen der Architektur. Dies beinhaltet die Festlegung von Kriterien, nach welcher {{c2::Software}} ausgewählt werden solle, sowie die Bereitstellung {{c2::des Architektur-Repositoriums}}.	
"Frage:<br />
Was ist das Architecture Capability Framework in TOGAF und welche Aufgaben erfüllt es?"	Das Architecture Capability Framework stellt Referenzmaterial bereit, um die organisatorischen Voraussetzungen für EAM zu gestalten. Darunter fallen Prozesse, Rollen, Verantwortlichkeiten, Governance-Strukturen und Skills. Es bildet die Grundlage zur Etablierung eines leistungsfähigen EAM-Funktionsbereichs.
"Frage:<br />
Was ist das Ziel des Architecture Capability Frameworks?"	Es unterstützt beim Aufbau der organisatorischen Strukturen, Rollen, Prozesse und Fähigkeiten, um EAM professionell zu betreiben.
{{c1::Das Architecture Capability Framework (ACapF)}} ist {{c2::ein Bestandteil von TOGAF für Referenzmaterial zum Aufbau der Organisationsstruktur, Prozesse, Rollen, Verantwortlichkeiten und Funktionen}}.	
"wahr oder falsch:<br />
Der Einsatz von TOGAF ist ausschließlich auf privatwirtschaftliche Unternehmen begrenzt."	"falsch:<br />
TOGAF wird auch in öffentlichen Institutionen eingesetzt (z. B. Krankenhäuser, Statistikämter)."
"{{c1::TOGAF (The Open Group Architecture Framework)}} ist {{c2::ein Enterprise Architecture Framework zur Modellierung von Architekturen}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Wimmer-TOGAF_Modell.png"" alt=""""><br />
Das Rahmenwerk von TOGAF}}}}"	
"<p>TOGAF besitzt vier Kernfunktionen zur Steuerung der Architekturentwicklung:</p>
<ul>
<li>{{c1::Architecture Capability Framework}}</li>
<li>{{c2::Architecture Development Method}}</li>
<li>{{c3::Architecture Content Framework}}</li>
<li>{{c4::Enterprise Continuum and Tools}}</li>
</ul>"	
"Frage:<br />
Welche drei Ebenen besitzt ArchiMate zur Beschreibung der Unternehmensarchitektur?"	"<ol>
<li>Business Layer: Geschäftsprozesse, Akteure und Services</li>
<li>Application Layer: Softwarekomponenten, Daten und deren Verhalten</li>
<li>Technology Layer: Hardware, Netzwerke und technische Services</li>
</ol>"
"{{c1::ArchiMate}} ist {{c2::eine offene und unabhängige Modellierungssprache für Enterprise Architecture}}.<br />
{{c1::{{c2::<img src=""2021-Bild-Wimmer-ArchiMate_Kernkonzepte.png"" alt=""""><br />
ArchiMate Kernkonzepte}}}}"	
"<p>ArchiMate besteht aus drei Konzeptebenen:</p>
<ul>
<li>{{c1::aktive Strukturen}}</li>
<li>{{c1::passive Strukturen}}</li>
<li>{{c1::Verhaltenskonzepte}}</li>
</ul>"	
"Frage:<br />
Was ist das Zachman-Framework?"	Das Zachman-Framework ist ein Enterprise Architecture Framework zur strukturierten Klassifikation von Architekturelementen. Es dient als Denkwerkzeug und Raster zur Beschreibung eines Unternehmens aus unterschiedlichen Perspektiven (Sichten) und Fragestellungen (Abstraktionen).
"Frage:<br />
Was ist das Ziel des Zachman-Frameworks?"	Ziel ist es, eine vollständige und konsistente Beschreibung eines Unternehmens zu ermöglichen, indem jede Zelle der Matrix adressiert wird. Dadurch wird Transparenz, Kommunikation und Verständnis über alle Stakeholder hinweg verbessert.
"Frage:<br />
Was sind die Schwächen des Zachman-Frameworks?"	"<ul>
<li>kein Vorgehensmodell zur Umsetzung (nur Klassifikation, keine Methodik)</li>
<li>stark auf Dokumentation ausgerichtet, weniger auf Transformation oder agile Anpassung</li>
<li>umfangreich und pflegeintensiv, wobei die vollständige Nutzung in der Praxis selten ist</li>
<li>Zellen sind nicht mit konkreten Modellierungsmethoden hinterlegt</li>
</ul>"
"Frage:<br />
Was sind die Stärken des Zachman-Frameworks?"	"<ul>
<li>hohe Vollständigkeit (36-Zellen-Matrix)</li>
<li>klarer Fokus auf Kommunikation zwischen Stakeholdern</li>
<li>lässt sich als Audit-Tool verwenden</li>
<li>sehr umfassende und strukturierte Klassifikation</li>
<li>technologieneutral, methodenunabhängig</li>
</ul>"
"Frage:  <br />
Worin unterscheiden sich das Zachman Framework von TOGAF?"	"<ul>
<li>TOGAF ist ein Framework mit einer prozessorientierten Methode, Rollen, Artefakten und Governance-Regeln. Es ist praxisnäher, aber weniger strikt strukturiert als Zachman.</li>
<li>Zachman ist ein statisches Klassifikationsschema, das Architekturelemente entlang von Fragen und Sichten systematisiert. Es liefert jedoch keine Methode.</li>
</ul>"
"wahr oder falsch:<br />
Das Zachman-Framework bietet keine Methodiken, Prozesse oder Werkzeuge zur Entwicklung von Modellen."	wahr
"wahr oder falsch:<br />
Das Zachman-Framework liefert ein vollständiges Framework zur Umsetzung von Architekturprojekten."	"falsch:<br />
Das Zachman-Framework liefert nur eine Klassifikationsstruktur und keine Methodik, kein Vorgehen und keine Tools."
{{c1::Das Zachman-Framework}} ist {{c2::ein Enterprise Architecture Framework zur Modellierung von soziotechnischen System aus verschiedenen Views durch Klassifizierungsmatrizen}}.	
"<p>Das Zachman-Framework besteht aus:</p>
<ul>
<li>Reihen: Views<ol>
<li>{{c1::Executive Perspective (Scope &amp; Contexts)}}</li>
<li>{{c1::Business Management Perspective (Business &amp; Concepts)}}</li>
<li>{{c1::Architecture Perspective (System &amp; Logic)}}</li>
<li>{{c1::Engineer Perspective (Technology &amp; Physics)}}</li>
<li>{{c1::Technician Perspective (Tool &amp; Components)}}</li>
<li>{{c1::Business Perspective (Operations &amp; Instances)}}</li></ol></li>
<li>Spalten: Klassifizierung<ol>
<li>{{c2::What (Data)}}</li>
<li>{{c2::How (Function)}}</li>
<li>{{c2::Where (Network)}}</li>
<li>{{c2::Who (People)}}</li>
<li>{{c2::When (Time)}}</li>
<li>{{c2::Why (Motivation)}}</li></ol></li>
</ul>"	
"Frage:<br />
Welche vier Hauptfunktionen bieten Enterprise Architecture Frameworks typischerweise?"	"<ol>
<li>Modellierung: Erstellung von Architekturmodellen</li>
<li>Analyse (z. B. Impact- oder Gap-Analysen)</li>
<li>Reporting &amp; Visualisierung</li>
<li>Governance-Unterstützung (z. B. Review-Workflows, Richtlinienprüfung)</li>
</ol>"
"wahr oder falsch:<br />
Ein Enterprise Architecture Framework enthält sowohl eine logische Struktur zur Informationsklassifikation als auch eine methodische Anleitung zur Umsetzung."	"falsch:<br />
Die meisten Frameworks decken nur einen dieser beiden Zwecke ab. In der Praxis werden daher oft zwei Frameworks kombiniert (z. B. Zachman-Framework für Struktur, TOGAF für Methodik)."
{{c1::Ein Enterprise Architecture Framework (Architekturrahmenwerk)}} ist {{c2::ein Werkzeug zur Entwicklung einer breiten Palette unterschiedlicher Architekturen}}.	
"wahr oder falsch:<br />
Enterprise Architecture Management ist eine Managementmethode, Philosophie und Funktion zur Planung, Umsetzung und Durchführung von organisatorischen Veränderungen."	wahr
"wahr oder falsch:<br />
Enterprise Architecture Management ist ein Tool, welches implementiert werden kann."	"falsch:<br />
Es handelt sich nicht um ein Tool, sondern um eine Methode zur Planung, Umsetzung und Durchführung von Veränderungen."
{{c1::Enterprise Architekturmanagement (EAM, Enterprise Architecture Management)}} ist {{c2::die kontinuierliche Praxis der Beschreibung der wesentlichen Elemente eines sozio-technisches Systems einer Unternehmensarchitektur, ihrer Beziehungen zueinander und zur Umwelt, um Komplexität zu verstehen und den Wandel einer Organisation zu managen}}.	
"<p>Enterprise Architecture Management besteht aus:</p>
<ul>
<li>{{c1::CxO-Agenda}}: {{c1::Darstellung des Values gegenüber dem C-Level}}</li>
<li>{{c2::Frameworks}}: {{c2::Methoden und Modelle zur Beschreibung der Enterprise Architecture}}</li>
<li>{{c3::Governance}}: {{c3::Decision-Making-Richtlinien innerhalb der Organisation}}</li>
<li>{{c4::Modelle}}: {{c4::Abstraktionen der realen Enterprise Architecture}}</li>
<li>{{c5::Prozessintegrierung}}: {{c5::Planung, Umsetzung und Kontrolle von Prozessen}}</li>
</ul>"	
"Frage:<br />
Was ist eine View und wie unterscheidet diese sich von einem Viewpoint?"	"Eine View ist ein spezifischer Ausschnitt eines Architekturmodells, der bestimmte Aspekte betont.<br />
Ein Viewpoint definiert die Regeln und Perspektiven zur Erstellung eines Views. Die View ist somit eine Instanz eines Viewpoints."
"wahr oder falsch:<br />
Eine View ist eine Instanz eines Viewpoints."	wahr
{{c1::Views (Sichten)}} sind {{c2::eine oder mehrere Interessen von Stakeholdern}} und beschreiben {{c3::die Architektur eines Systems aus der Perspektive bestimmter Systemaspekte}}.	
Views werden benötigt, um {{c1::Komplexität in der Modellierung im Bezug auf die Bedürfnisse von Stakeholdern zu reduzieren}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Stakeholder in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Stakeholder.png"" alt="""">"
"wahr oder falsch:<br />
Eigentümer, Kunden und Gesellschaft sind Stakeholder eines Unternehmens."	wahr
"wahr oder falsch:<br />
Lieferanten, Wettbewerber und Gläubiger sind Stakeholder eines Unternehmens."	"falsch:<br />
Wettbewerber stellen dem Unternehmen keine Ressourcen zur Verfügung und sind dementsprechend keine Stakeholder."
"wahr oder falsch:<br />
Mitarbeiter, Lieferanten und Wettbewerber sind Stakeholder eines Unternehmens."	"falsch:<br />
Wettbewerber stellen dem Unternehmen keine Ressourcen zur Verfügung und sind dementsprechend keine Stakeholder."
"wahr oder falsch:<br />
Mitarbeiter sind Stakeholder eines Unternehmens."	wahr
"{{c1::Stakeholder}} sind {{c2::Organisationen, die eine Schlüsselrolle in einem System einnehmen und Bedürfnisse, Ziele, Erwartungen, Anforderungen, Abhängigkeiten in Verbindung zu dem System haben}}.<br />
<img src=""2022-Bild-Kajueter-Stakeholderbeziehung.png"" alt="""">"	
"Beispiel:<br />
Enterprise"	"<ul>
<li>eine Kette an geografisch Verteilten Organisationen, die einem Mutterkonzern zugehörig sind</li>
<li>eine Organisation</li>
</ul>"
{{c1::Ein Enterprise}} ist {{c2::jede Ansammlung von Organisationen mit einer gemeinsamen Zielsetzung und/oder gemeinsamen Wertschöpfungsbereichen}}. Dazu gehören {{c3::Konzerne, Unternehmungen und Abteilungen}}.	
{{c1::Die Architektur von einem System}} ist {{c2::der Bauplan, die Literatur, Sprache und alle Entscheidungen, die zur Gestaltung des Systems von Funktionen und Strukturen benötigt werden und dieses darstellen}}.	
"Beispiel:<br />
Modelle"	"<ul>
<li>Aufbau eines Motors</li>
<li>Klimamodell</li>
<li>Modelleisenbahn</li>
</ul>"
{{c1::Ein Modell (Theoretical Framework)}} ist {{c2::eine Repräsentation eines Objektes, der Wirklichkeit oder eines Ausschnitts dieser Wirklichkeit}}. {{c1::Ein Modell}} wird aus einem Grund für {{c3::eine bestimmte Zielgruppe}} mit {{c4::einer definierten Sprache}} konstruiert.	
Das Hauptmerkmal von {{c1::Modellen}} ist {{c2::die Abstrahierung von komplexen Zusammenhängen}} zur {{c3::Gewinnung von Information}}.	
"<p>{{c1::Ein Modell}} besitzt folgende Eigenschaften:</p>
<ul>
<li>{{c2::empirische Bestätigung}}</li>
<li>{{c2::Genauigkeit}}</li>
<li>{{c2::Informationsgehalt}}</li>
<li>{{c2::Realitätsbezug}}</li>
<li>{{c2::Widerspruchsfreiheit}}</li>
</ul>"	
